measurement_timestamp  air_temperature
0  2025-03-05T20:00:00.000            -0.50
1  2025-03-04T21:00:00.000             4.17
2  2025-03-04T15:00:00.000             8.06
3  2025-03-04T10:00:00.000             8.67
4  2025-02-28T15:00:00.000            13.89
5  2025-02-10T11:00:00.000            -2.00
6  2025-02-09T05:00:00.000            -3.28
7  2025-02-06T07:00:00.000            -0.39
